Iteration,Particle_ID,Dim_0,Dim_1,Fitness,Best_So_far
0,0,36.0,72.0,11351.43862538597,11351.43862538597
0,1,28.0,94.0,12512.586910507118,12512.586910507118
0,2,7.0,72.0,6886.594495252907,12512.586910507118
0,3,7.0,62.0,6395.374279646239,12512.586910507118
0,4,39.0,71.0,10516.997032108615,12512.586910507118
0,5,27.0,88.0,14304.487101190029,14304.487101190029
0,6,29.0,89.0,14795.617198064389,14795.617198064389
0,7,41.0,76.0,11865.974720976083,14795.617198064389
0,8,36.0,68.0,11923.073749566785,14795.617198064389
0,9,28.0,96.0,14954.95448955181,14954.95448955181
1,0,36.0,72.0,11351.43862538597,14954.95448955181
1,1,28.0,94.0,12512.586910507118,14954.95448955181
1,2,7.0,72.0,6886.594495252907,14954.95448955181
1,3,7.0,62.0,6395.374279646239,14954.95448955181
1,4,39.0,71.0,10516.997032108615,14954.95448955181
1,5,27.0,88.0,14304.487101190029,14954.95448955181
1,6,29.0,89.0,14795.617198064389,14954.95448955181
1,7,41.0,76.0,11865.974720976083,14954.95448955181
1,8,36.0,68.0,11923.073749566785,14954.95448955181
1,9,28.0,96.0,14954.95448955181,14954.95448955181
2,0,28.0,98.0,15159.234773083554,15159.234773083554
2,1,28.0,96.0,14954.95448955181,15159.234773083554
2,2,30.0,98.0,12028.235529384729,15159.234773083554
2,3,26.0,92.0,14641.52700859887,15159.234773083554
2,4,29.0,94.0,13111.397844807405,15159.234773083554
2,5,27.0,90.0,13693.043683410284,15159.234773083554
2,6,27.0,99.0,14614.134681174299,15159.234773083554
2,7,24.0,100.0,14358.114068641871,15159.234773083554
2,8,32.0,83.0,16041.41104926458,16041.41104926458
2,9,28.0,96.0,14954.95448955181,16041.41104926458
3,0,30.0,90.0,13920.376140851786,16041.41104926458
3,1,34.0,78.0,14110.397543377001,16041.41104926458
3,2,44.0,94.0,16899.410103731476,16899.410103731476
3,3,44.0,94.0,16899.410103731476,16899.410103731476
3,4,27.0,95.0,14208.347177146818,16899.410103731476
3,5,30.0,85.0,16592.758532409476,16899.410103731476
3,6,29.0,93.0,12576.258825295074,16899.410103731476
3,7,27.0,88.0,14304.487101190029,16899.410103731476
3,8,30.0,91.0,14427.815992111728,16899.410103731476
3,9,32.0,82.0,17271.588545043527,17271.588545043527
4,0,29.0,92.0,12996.113802092863,17271.588545043527
4,1,36.0,72.0,11351.43862538597,17271.588545043527
4,2,40.0,81.0,10392.115406508168,17271.588545043527
4,3,46.0,87.0,17617.9001313818,17617.9001313818
4,4,26.0,94.0,13570.0622429904,17617.9001313818
4,5,33.0,80.0,14567.502304404732,17617.9001313818
4,6,33.0,76.0,15390.441586346175,17617.9001313818
4,7,32.0,79.0,13424.81127337968,17617.9001313818
4,8,32.0,83.0,16041.41104926458,17617.9001313818
4,9,34.0,75.0,14673.993213798543,17617.9001313818
5,0,45.0,96.0,15590.766320413,17617.9001313818
5,1,33.0,100.0,16166.376698065598,17617.9001313818
5,2,44.0,81.0,11576.415014592605,17617.9001313818
5,3,47.0,84.0,15792.19495358617,17617.9001313818
5,4,27.0,94.0,14041.262425892857,17617.9001313818
5,5,47.0,87.0,19301.92729886505,19301.92729886505
5,6,43.0,74.0,11608.380381573917,19301.92729886505
5,7,31.0,100.0,15516.442464688856,19301.92729886505
5,8,50.0,84.0,16811.819919053087,19301.92729886505
5,9,41.0,85.0,14378.475685271802,19301.92729886505
6,0,50.0,96.0,20526.01166995062,20526.01166995062
6,1,48.0,99.0,20443.930812693652,20526.01166995062
6,2,49.0,92.0,18579.09411494734,20526.01166995062
6,3,47.0,85.0,15706.747224681238,20526.01166995062
6,4,50.0,84.0,16811.819919053087,20526.01166995062
6,5,50.0,90.0,19316.855759430404,20526.01166995062
6,6,50.0,92.0,19268.73721410233,20526.01166995062
6,7,36.0,100.0,20520.59860799796,20526.01166995062
6,8,50.0,86.0,19921.79339921493,20526.01166995062
6,9,48.0,91.0,17953.769694918417,20526.01166995062
7,0,50.0,96.0,20526.01166995062,20526.01166995062
7,1,50.0,95.0,18955.723904165083,20526.01166995062
7,2,50.0,100.0,20550.9792711366,20550.9792711366
7,3,47.0,92.0,18561.47696608843,20550.9792711366
7,4,50.0,84.0,16811.819919053087,20550.9792711366
7,5,50.0,93.0,19393.3480429346,20550.9792711366
7,6,50.0,100.0,20550.9792711366,20550.9792711366
7,7,50.0,100.0,20550.9792711366,20550.9792711366
7,8,50.0,91.0,19661.025724892057,20550.9792711366
7,9,50.0,97.0,19105.641331281877,20550.9792711366
8,0,50.0,98.0,19865.04786371012,20550.9792711366
8,1,50.0,97.0,19105.641331281877,20550.9792711366
8,2,50.0,100.0,20550.9792711366,20550.9792711366
8,3,50.0,100.0,20550.9792711366,20550.9792711366
8,4,50.0,96.0,20526.01166995062,20550.9792711366
8,5,50.0,98.0,19865.04786371012,20550.9792711366
8,6,50.0,100.0,20550.9792711366,20550.9792711366
8,7,50.0,100.0,20550.9792711366,20550.9792711366
8,8,50.0,100.0,20550.9792711366,20550.9792711366
8,9,50.0,100.0,20550.9792711366,20550.9792711366
9,0,50.0,100.0,20550.9792711366,20550.9792711366
9,1,50.0,100.0,20550.9792711366,20550.9792711366
9,2,50.0,100.0,20550.9792711366,20550.9792711366
9,3,50.0,100.0,20550.9792711366,20550.9792711366
9,4,50.0,100.0,20550.9792711366,20550.9792711366
9,5,50.0,100.0,20550.9792711366,20550.9792711366
9,6,50.0,100.0,20550.9792711366,20550.9792711366
9,7,50.0,100.0,20550.9792711366,20550.9792711366
9,8,50.0,100.0,20550.9792711366,20550.9792711366
9,9,50.0,100.0,20550.9792711366,20550.9792711366
10,0,50.0,100.0,20550.9792711366,20550.9792711366
10,1,50.0,100.0,20550.9792711366,20550.9792711366
10,2,50.0,100.0,20550.9792711366,20550.9792711366
