Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Fitness,Best_So_far
0,0,24.0,61.0,0.07394435985252579,723.4982151556446,723.4982151556446
0,1,13.0,77.0,0.7405469903357763,3840.7105847207704,3840.7105847207704
0,2,26.0,51.0,0.9975602843761829,1229.1845750907546,3840.7105847207704
0,3,44.0,52.0,0.5876649246487978,2318.3269358058287,3840.7105847207704
0,4,12.0,67.0,0.22733121534896872,5515.176396247998,5515.176396247998
0,5,34.0,77.0,0.9912277942540787,2317.8294576813846,5515.176396247998
0,6,40.0,95.0,0.06176605128519552,10401.36195443487,10401.36195443487
0,7,32.0,96.0,0.9948373177764599,3776.7844415905665,10401.36195443487
0,8,38.0,80.0,0.35762942065652525,6824.48548271862,10401.36195443487
0,9,40.0,71.0,0.9312388691336783,3447.5774686526574,10401.36195443487
1,0,24.0,61.0,0.07394435985252579,723.4982151556446,10401.36195443487
1,1,13.0,77.0,0.7405469903357763,3840.7105847207704,10401.36195443487
1,2,26.0,51.0,0.9975602843761829,1229.1845750907546,10401.36195443487
1,3,44.0,52.0,0.5876649246487978,2318.3269358058287,10401.36195443487
1,4,12.0,67.0,0.22733121534896872,5515.176396247998,10401.36195443487
1,5,34.0,77.0,0.9912277942540787,2317.8294576813846,10401.36195443487
1,6,40.0,95.0,0.06176605128519552,10401.36195443487,10401.36195443487
1,7,32.0,96.0,0.9948373177764599,3776.7844415905665,10401.36195443487
1,8,38.0,80.0,0.35762942065652525,6824.48548271862,10401.36195443487
1,9,40.0,71.0,0.9312388691336783,3447.5774686526574,10401.36195443487
2,0,35.0,85.0,0.0,692.1471244817689,10401.36195443487
2,1,28.0,87.0,0.3127306904340118,7099.460002962412,10401.36195443487
2,2,37.0,86.0,0.0,692.1471244817689,10401.36195443487
2,3,40.0,99.0,0.0,516.6098118422451,10401.36195443487
2,4,46.0,100.0,0.0,516.6098118422451,10401.36195443487
2,5,35.0,81.0,0.39547837673042596,5728.986343101239,10401.36195443487
2,6,40.0,95.0,0.0,552.6174657170192,10401.36195443487
2,7,38.0,95.0,0.28277531644607523,9704.23464446021,10401.36195443487
2,8,41.0,100.0,0.2128793584475766,11918.104122161376,11918.104122161376
2,9,40.0,100.0,0.10780099295823853,18572.06186584304,18572.06186584304
3,0,35.0,88.0,0.0,692.1471244817689,18572.06186584304
3,1,50.0,100.0,0.0,516.6098118422451,18572.06186584304
3,2,38.0,93.0,0.06425656592408072,10186.400065668617,18572.06186584304
3,3,38.0,100.0,0.0,516.6098118422451,18572.06186584304
3,4,18.0,76.0,0.067878895610188,953.2671917643352,18572.06186584304
3,5,36.0,86.0,0.05909792573998268,2033.6721235154748,18572.06186584304
3,6,40.0,96.0,0.008557824081221042,586.9997741043903,18572.06186584304
3,7,42.0,97.0,0.0,522.1359864994154,18572.06186584304
3,8,42.0,100.0,0.06922382688010509,16388.483334853467,18572.06186584304
3,9,40.0,100.0,0.0,516.6098118422451,18572.06186584304
4,0,32.0,81.0,0.03395745700515687,432.20353723307994,18572.06186584304
4,1,27.0,97.0,0.2109612588799151,10873.051912441439,18572.06186584304
4,2,41.0,100.0,0.1432620798541014,11009.68544045449,18572.06186584304
4,3,42.0,91.0,0.19669414067867277,12024.72583502447,18572.06186584304
4,4,5.0,64.0,0.112161391139585,692.1471244817689,18572.06186584304
4,5,40.0,100.0,0.1939400956811933,12361.28721227821,18572.06186584304
4,6,40.0,100.0,0.17473133731879067,11300.338305586505,18572.06186584304
4,7,38.0,95.0,0.20014850321628827,10610.059750435543,18572.06186584304
4,8,40.0,100.0,0.04911696589996891,3371.60769818384,18572.06186584304
4,9,40.0,100.0,0.0,516.6098118422451,18572.06186584304
5,0,30.0,77.0,0.17469289959670833,7291.769704713892,18572.06186584304
5,1,28.0,98.0,0.2181302378046394,11407.318904555174,18572.06186584304
5,2,41.0,100.0,0.1360904210352518,11087.426864359844,18572.06186584304
5,3,43.0,91.0,0.2451818709979558,12154.984372362189,18572.06186584304
5,4,5.0,62.0,0.1415486425339042,580.9194475929024,18572.06186584304
5,5,42.0,100.0,0.22558638535495426,10996.737699947318,18572.06186584304
5,6,40.0,100.0,0.17011636200895464,11372.247446292151,18572.06186584304
5,7,38.0,99.0,0.21002417247340616,10993.043106659607,18572.06186584304
5,8,41.0,100.0,0.14776515589784753,10406.437875976984,18572.06186584304
5,9,40.0,100.0,0.11798913330032014,13386.276575887861,18572.06186584304
6,0,35.0,89.0,0.2036102507131082,10461.819726068106,18572.06186584304
6,1,36.0,100.0,0.15505524950750613,11363.6566999061,18572.06186584304
6,2,41.0,100.0,0.1272100391962981,12962.162388521961,18572.06186584304
6,3,42.0,96.0,0.19006274769003462,10877.62025745339,18572.06186584304
6,4,50.0,100.0,0.12225895184594912,12030.038391527067,18572.06186584304
6,5,41.0,100.0,0.16254535672295162,11513.113382894308,18572.06186584304
6,6,40.0,100.0,0.14410983882394013,10759.474908858861,18572.06186584304
6,7,38.0,100.0,0.2034092090558532,12105.441664666863,18572.06186584304
6,8,42.0,100.0,0.11963908256539504,11554.990324841114,18572.06186584304
6,9,40.0,100.0,0.1508443062081133,11214.465391186915,18572.06186584304
7,0,39.0,98.0,0.1897287978720767,12493.171909572715,18572.06186584304
7,1,40.0,100.0,0.11129151856800462,13747.609740682403,18572.06186584304
7,2,40.0,100.0,0.11381246371280934,13605.733698098826,18572.06186584304
7,3,40.0,97.0,0.12584078302681895,9399.305822011098,18572.06186584304
7,4,50.0,100.0,0.09773706707906349,11329.60014167981,18572.06186584304
7,5,38.0,100.0,0.09013997592283962,24177.224978914866,24177.224978914866
7,6,40.0,100.0,0.12736937094832443,12962.162388521961,24177.224978914866
7,7,39.0,100.0,0.14084868117354638,11026.08523772431,24177.224978914866
7,8,42.0,100.0,0.06931429806407799,16388.483334853467,24177.224978914866
7,9,40.0,100.0,0.08004687563931634,25509.825262578728,25509.825262578728
8,0,42.0,100.0,0.06556920564397142,14080.923433078775,25509.825262578728
8,1,42.0,100.0,0.05410241292019516,7541.165648699896,25509.825262578728
8,2,40.0,100.0,0.09660775652097035,16725.511464940813,25509.825262578728
8,3,40.0,99.0,0.07780762226151879,23772.765236383304,25509.825262578728
8,4,45.0,100.0,0.06589839573683753,16526.024768500232,25509.825262578728
8,5,37.0,100.0,0.05019981230457125,1627.1362756104697,25509.825262578728
8,6,40.0,100.0,0.06053211856514665,11529.56732050335,25509.825262578728
8,7,39.0,100.0,0.1363674522598017,11388.078444056746,25509.825262578728
8,8,40.0,100.0,0.05621340126182468,8360.824691624895,25509.825262578728
8,9,40.0,100.0,0.044648160354917865,1077.3248428485244,25509.825262578728
9,0,41.0,100.0,0.019094588515355768,547.916466461146,25509.825262578728
9,1,42.0,100.0,0.05234700462921184,4258.45388722768,25509.825262578728
9,2,40.0,100.0,0.07564200814557046,19172.837182235937,25509.825262578728
9,3,40.0,100.0,0.05513568247262961,6968.295933046755,25509.825262578728
9,4,37.0,100.0,0.06597236000461604,11412.658896267361,25509.825262578728
9,5,39.0,100.0,0.05109622530740021,4742.976224772803,25509.825262578728
9,6,40.0,100.0,0.0957651490514273,17566.924730937608,25509.825262578728
9,7,38.0,100.0,0.20582642744282226,12113.881365798592,25509.825262578728
9,8,40.0,100.0,0.07148566924339976,16298.370345327206,25509.825262578728
9,9,40.0,100.0,0.08528800795413913,25597.304811243688,25597.304811243688
10,0,41.0,100.0,0.08877715266749144,17971.166551252343,25597.304811243688
10,1,38.0,100.0,0.13396319325931477,11672.269461738535,25597.304811243688
10,2,40.0,100.0,0.0721146162139789,16290.549233342239,25597.304811243688
10,3,40.0,100.0,0.08254021619915142,25048.299717336566,25597.304811243688
10,4,36.0,100.0,0.08616554028881808,24060.887807278512,25597.304811243688
10,5,40.0,100.0,0.10979648676403252,16886.281146839192,25597.304811243688
10,6,40.0,100.0,0.10279771241917177,19068.63839597167,25597.304811243688
10,7,39.0,100.0,0.130231634401196,12616.023358950448,25597.304811243688
10,8,43.0,100.0,0.07980079657417395,25247.220323331694,25597.304811243688
10,9,40.0,100.0,0.10560793175374976,19984.562545628425,25597.304811243688
11,0,41.0,100.0,0.12337785676423949,12154.125483335189,25597.304811243688
11,1,40.0,100.0,0.10878637551803576,16053.657621532444,25597.304811243688
11,2,40.0,100.0,0.08327023327083394,25287.589556637802,25597.304811243688
11,3,40.0,100.0,0.09647096363591082,17439.048342578564,25597.304811243688
11,4,40.0,100.0,0.09527355101876049,17819.03569253885,25597.304811243688
11,5,40.0,100.0,0.11597237650005665,13577.254996901065,25597.304811243688
11,6,40.0,100.0,0.09668575084578351,17228.150379194547,25597.304811243688
11,7,40.0,100.0,0.08198556814569022,25282.36840211909,25597.304811243688
11,8,44.0,100.0,0.0841833901082672,18045.380478308318,25597.304811243688
11,9,40.0,100.0,0.08193918080561226,25282.36840211909,25597.304811243688
12,0,40.0,100.0,0.07634336572233547,21023.18580404779,25597.304811243688
12,1,41.0,100.0,0.06466781521226067,12015.926327309264,25597.304811243688
12,2,40.0,100.0,0.08948980320914984,20655.81670720677,25597.304811243688
12,3,40.0,100.0,0.07508632072810903,19103.797910845162,25597.304811243688
12,4,38.0,100.0,0.0794837586441899,19553.092661968585,25597.304811243688
12,5,39.0,100.0,0.06416110803533628,10459.552113509742,25597.304811243688
12,6,40.0,100.0,0.08939786792785807,20655.81670720677,25597.304811243688
12,7,40.0,100.0,0.06154190620057534,11198.923233107045,25597.304811243688
12,8,43.0,100.0,0.079852071359546,25247.220323331694,25597.304811243688
12,9,40.0,100.0,0.07485882901841628,18955.220811585077,25597.304811243688
13,0,39.0,100.0,0.05414979645536431,5058.089150859616,25597.304811243688
13,1,40.0,100.0,0.08288390357434693,24988.540655996738,25597.304811243688
13,2,40.0,100.0,0.0807914418062362,25696.851700902324,25696.851700902324
13,3,40.0,100.0,0.07520255774426489,19297.51919147586,25696.851700902324
13,4,35.0,100.0,0.07998938329851056,16480.764680070337,25696.851700902324
13,5,39.0,100.0,0.060029808569050366,9978.058955651597,25696.851700902324
13,6,40.0,100.0,0.0838877369295422,25287.589556637802,25696.851700902324
13,7,40.0,100.0,0.08302781632946307,24870.43873982755,25696.851700902324
13,8,40.0,100.0,0.08136288212385098,25733.35118983256,25733.35118983256
13,9,40.0,100.0,0.09697094941751142,17193.995402985856,25733.35118983256
14,0,40.0,100.0,0.06582533220472817,12517.910378961804,25733.35118983256
14,1,40.0,100.0,0.09068379532850125,18558.41417980163,25733.35118983256
14,2,40.0,100.0,0.07664659932182345,21704.061133520205,25733.35118983256
14,3,40.0,100.0,0.09040329773282613,18522.372342602346,25733.35118983256
14,4,36.0,100.0,0.08685886413836368,28752.22740445169,28752.22740445169
14,5,40.0,100.0,0.08561179406649724,24913.107741742377,28752.22740445169
14,6,40.0,100.0,0.08080291189503218,25696.851700902324,28752.22740445169
14,7,40.0,100.0,0.09140270196993797,14649.58372312484,28752.22740445169
14,8,39.0,100.0,0.08211828750600347,28848.2118929422,28848.2118929422
14,9,40.0,100.0,0.08363380610472822,25287.589556637802,28848.2118929422
