Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Fitness,Best_So_far
0,0,1.1228192776595702,2.6199924935620054,9.981559856245894,19.0,23.0,34.0,0.3460935493730798,9.612801759174902,9.549724291623553,9.125939607636942,89.0,52.0,64.0,0.3332384776816535,4099.919355853085,4099.919355853085
0,1,7.113541954346791,2.708033521261096,6.66694083558808,44.0,23.0,40.0,0.21987876075832258,3.4241336647816443,8.981753644644712,8.46693782423677,82.0,87.0,85.0,0.30044492425585456,570.7527067738025,4099.919355853085
0,2,5.505790027423496,8.543639626943932,3.2738229440642854,12.0,34.0,8.0,0.5799084232155437,8.083099441649875,7.876525739745683,2.663789049698324,76.0,79.0,65.0,0.7710088806507138,12942.06165771592,12942.06165771592
0,3,8.071259338990474,8.314017188416225,1.8026273037539575,6.0,40.0,9.0,0.4678892595979175,5.8900003957613425,3.6703980306199413,9.409175605912807,63.0,97.0,79.0,0.16522258708662885,14423.6945397221,14423.6945397221
0,4,7.9875195941971775,8.801720242362789,3.5741493212131816,11.0,31.0,8.0,0.5092305165800671,2.4536965726720164,0.3192912703267381,6.04600398100117,99.0,71.0,69.0,0.08623761736736735,13214.914553467184,14423.6945397221
0,5,3.9568995519373704,5.490077341736026,1.667893512882237,22.0,40.0,43.0,0.4960254802733347,6.297229859871764,0.9592354993348728,9.637852648803209,90.0,89.0,58.0,0.5462012771639406,19261.24432132964,19261.24432132964
0,6,3.7872809519390147,1.0803998150594885,9.527178260783016,17.0,19.0,35.0,0.32589106828517256,0.25656365856869034,5.482337461869805,9.818710743093336,69.0,82.0,78.0,0.19576364031997484,447.0519870256883,19261.24432132964
0,7,8.575755858035452,2.9606045310472897,3.3564001028112758,23.0,8.0,35.0,0.7862399389815519,8.811996138510217,7.149949402765182,1.6447606147593608,55.0,63.0,58.0,0.005496557889920983,3991.9017328182194,19261.24432132964
0,8,8.425026847739115,2.2013834840914006,2.7206956193495477,25.0,48.0,40.0,0.17998731262995316,5.353612850040848,6.0180368187598665,0.9957736520930449,96.0,88.0,88.0,0.9519559278739917,862.1725907530554,19261.24432132964
0,9,6.4771461347057615,5.360965497346148,8.671342171864138,6.0,35.0,28.0,0.26446969082692695,0.04959868371419818,1.42928101101637,6.407041381155006,72.0,83.0,88.0,0.11411286990612024,8737.73949172175,19261.24432132964
1,0,1.1228192776595702,2.6199924935620054,9.981559856245894,19.0,23.0,34.0,0.3460935493730798,9.612801759174902,9.549724291623553,9.125939607636942,89.0,52.0,64.0,0.3332384776816535,4099.919355853085,19261.24432132964
1,1,7.113541954346791,2.708033521261096,6.66694083558808,44.0,23.0,40.0,0.21987876075832258,3.4241336647816443,8.981753644644712,8.46693782423677,82.0,87.0,85.0,0.30044492425585456,570.7527067738025,19261.24432132964
1,2,5.505790027423496,8.543639626943932,3.2738229440642854,12.0,34.0,8.0,0.5799084232155437,8.083099441649875,7.876525739745683,2.663789049698324,76.0,79.0,65.0,0.7710088806507138,12942.06165771592,19261.24432132964
1,3,8.071259338990474,8.314017188416225,1.8026273037539575,6.0,40.0,9.0,0.4678892595979175,5.8900003957613425,3.6703980306199413,9.409175605912807,63.0,97.0,79.0,0.16522258708662885,14423.6945397221,19261.24432132964
1,4,7.9875195941971775,8.801720242362789,3.5741493212131816,11.0,31.0,8.0,0.5092305165800671,2.4536965726720164,0.3192912703267381,6.04600398100117,99.0,71.0,69.0,0.08623761736736735,13214.914553467184,19261.24432132964
1,5,3.9568995519373704,5.490077341736026,1.667893512882237,22.0,40.0,43.0,0.4960254802733347,6.297229859871764,0.9592354993348728,9.637852648803209,90.0,89.0,58.0,0.5462012771639406,19261.24432132964,19261.24432132964
1,6,3.7872809519390147,1.0803998150594885,9.527178260783016,17.0,19.0,35.0,0.32589106828517256,0.25656365856869034,5.482337461869805,9.818710743093336,69.0,82.0,78.0,0.19576364031997484,447.0519870256883,19261.24432132964
1,7,8.575755858035452,2.9606045310472897,3.3564001028112758,23.0,8.0,35.0,0.7862399389815519,8.811996138510217,7.149949402765182,1.6447606147593608,55.0,63.0,58.0,0.005496557889920983,3991.9017328182194,19261.24432132964
1,8,8.425026847739115,2.2013834840914006,2.7206956193495477,25.0,48.0,40.0,0.17998731262995316,5.353612850040848,6.0180368187598665,0.9957736520930449,96.0,88.0,88.0,0.9519559278739917,862.1725907530554,19261.24432132964
1,9,6.4771461347057615,5.360965497346148,8.671342171864138,6.0,35.0,28.0,0.26446969082692695,0.04959868371419818,1.42928101101637,6.407041381155006,72.0,83.0,88.0,0.11411286990612024,8737.73949172175,19261.24432132964
2,0,4.8319976049282065,6.125989632478163,0.0,23.0,46.0,46.0,0.22287381925767097,5.4338401332053925,0.0,9.352043787611144,90.0,100.0,56.0,0.5318947487749541,23101.9058288917,23101.9058288917
2,1,3.955230535916692,6.043507311839498,1.0723791154956865,21.0,41.0,43.0,0.014964509723257802,6.270701345239854,0.3558674508244639,9.372373636563854,90.0,89.0,57.0,0.27121892378089496,21005.01377763936,23101.9058288917
2,2,3.5674763009593997,5.626160261214502,2.1713753696253635,22.0,40.0,42.0,0.8009249332942427,5.990271616482217,1.714137356074601,9.469914328402453,89.0,89.0,58.0,0.7859914120338357,19838.70890671699,23101.9058288917
2,3,2.2767259252106102,4.162310874423633,1.4899034211760578,30.0,40.0,50.0,0.6268505641496254,6.116861153428465,0.0,9.793612377923003,100.0,85.0,51.0,0.687469836892261,21605.887574078224,23101.9058288917
2,4,2.6392401661230105,4.447548310952755,0.9770354285981111,26.0,43.0,50.0,0.17678767615825353,7.776280669832179,1.1939266946842966,10.0,88.0,94.0,55.0,0.8247877372843185,20203.06328948704,23101.9058288917
2,5,4.3654834551709865,5.343023938598507,1.1863172658129688,22.0,40.0,43.0,0.1369907204328744,6.196554088443781,1.093815768287406,9.911856340234205,90.0,89.0,58.0,0.32405659580757873,19261.24432132964,23101.9058288917
2,6,3.6132350069840338,6.751456218335927,0.3741915197168204,23.0,44.0,45.0,0.7750829097615517,7.4222224312798355,0.0,9.381844918955567,94.0,90.0,54.0,0.6871578184856147,21005.01377763936,23101.9058288917
2,7,7.843983265378584,3.7805369572279273,2.979471728112484,22.0,17.0,38.0,0.4966391939874154,7.784905976270313,5.6338051675206575,3.6725810554812712,64.0,69.0,58.0,0.45884519244694266,2866.2539923086265,23101.9058288917
2,8,6.598135891563741,3.4567286451565495,2.7497654453461777,24.0,45.0,42.0,0.0,5.659355521959205,4.278036428027356,3.979754081138079,94.0,88.0,76.0,0.5946478599081422,529.9987966380854,23101.9058288917
2,9,4.381824744107206,5.925427639496844,1.6848565305969059,23.0,40.0,43.0,0.4903526082157029,6.823935617152131,0.5181570671991105,10.0,90.0,89.0,57.0,0.2281974261120604,19261.24432132964,23101.9058288917
3,0,6.686586768562525,7.878988201936242,0.0,25.0,50.0,50.0,0.16126395419996656,3.344359320220638,0.0,9.465095877598245,91.0,100.0,52.0,0.6312228843216044,14721.536993243044,23101.9058288917
3,1,3.362217615638484,7.804016105831851,0.0,12.0,50.0,48.0,0.14635314962817947,6.752726464929706,0.0,9.802225567654345,94.0,100.0,51.0,0.5498007687351629,20871.762104285932,23101.9058288917
3,2,3.9657652472971825,4.70793308461538,0.0,28.0,49.0,50.0,0.28633215513978416,4.342136010692032,0.0,10.0,97.0,100.0,53.0,0.5187040588848197,14559.370400748143,23101.9058288917
3,3,0.6112219954474436,3.0330445009796065,0.6153369968626988,39.0,43.0,50.0,0.5115951650175371,5.901042836170771,0.0,9.772973650764072,100.0,86.0,51.0,0.8735988519803219,20871.762104285932,23101.9058288917
3,4,2.2813445808162904,4.043426279881567,0.0,30.0,50.0,50.0,0.05924777287245536,7.963215982074762,0.370080883822518,10.0,84.0,100.0,51.0,0.884675332411863,21819.320896179113,23101.9058288917
3,5,4.455586768645806,5.827631491461837,0.7340400414136169,23.0,43.0,44.0,0.32741887076385734,5.822129580349144,0.4451761737183023,9.497767883133985,90.0,95.0,57.0,0.5259980930280279,21005.01377763936,23101.9058288917
3,6,4.130820822850459,9.276700370182203,0.0,26.0,50.0,50.0,0.7257366618729514,10.0,0.0,9.148628138441898,100.0,99.0,51.0,0.8558313620390047,21209.779635220122,23101.9058288917
3,7,4.800702763558943,6.075168639190364,0.0,24.0,45.0,46.0,0.2871000363885278,5.5464739557955065,0.0,9.216242920137994,89.0,100.0,56.0,0.4016920288521997,21209.779635220122,23101.9058288917
3,8,5.1878703270306055,5.903190862461074,0.0,23.0,47.0,45.0,0.21219807426307713,5.366500528975574,0.3001800144473732,8.807922091517492,90.0,100.0,58.0,0.605718642933896,23101.9058288917,23101.9058288917
3,9,4.00037595990619,6.504470891551023,0.0,31.0,50.0,50.0,0.20745155689073447,8.153898397859166,0.0,10.0,99.0,100.0,51.0,0.73468211031139,21819.320896179113,23101.9058288917
4,0,4.682914790454385,5.985073269098114,0.0,23.0,49.0,47.0,0.2278263835572249,5.601804923735268,0.0,9.342955993889545,90.0,100.0,56.0,0.5239101674487517,22678.37088869535,23101.9058288917
4,1,4.507498734115051,6.301869188082573,0.0,21.0,48.0,46.0,0.17683659261866977,5.734023958872071,0.0,9.40685450303289,90.0,99.0,51.0,0.4871112624342345,23101.9058288917,23101.9058288917
4,2,4.269429724164515,5.4276482874738345,0.0,25.0,47.0,50.0,0.3329009285385119,5.029648426819752,0.0,10.0,93.0,100.0,55.0,0.5620798036457009,19752.4645019327,23101.9058288917
4,3,3.951403818965033,5.4460147066082625,0.553328274005405,25.0,44.0,50.0,0.3702714177824173,5.683504347305333,0.0,9.510881239983414,100.0,95.0,51.0,0.5836780819075018,23101.9058288917,23101.9058288917
4,4,3.6821518518588885,5.131207501071837,0.0,28.0,50.0,50.0,0.10182013352606886,6.490106660665799,0.0,10.0,86.0,100.0,51.0,0.6961233533624815,19720.790756967115,23101.9058288917
4,5,4.844472052652299,6.342471422442304,0.0,23.0,47.0,47.0,0.32713594954256875,5.280233145685994,0.0,9.15761153475496,90.0,100.0,56.0,0.632355159827832,22678.37088869535,23101.9058288917
4,6,4.8139066295864,8.632778723667734,0.0,26.0,50.0,50.0,0.3967734663704063,8.535158389043703,0.0,9.1551096987566,99.0,100.0,51.0,0.7441490867176704,21209.779635220122,23101.9058288917
4,7,3.3153312527093313,7.28138279422302,0.0,24.0,50.0,50.0,0.10789633770703211,4.296722475340935,0.0,10.0,100.0,100.0,55.0,0.5240121571000994,20233.7982274563,23101.9058288917
4,8,4.037410161455539,7.405225001224515,0.0,23.0,47.0,48.0,0.3316563864613439,5.3043395915151255,0.0,10.0,88.0,100.0,51.0,0.5188732489310305,21854.365109867333,23101.9058288917
4,9,4.828937548580298,6.330102906637697,0.0,25.0,50.0,50.0,0.08490349236131774,5.48501122833613,0.0,9.65828620875421,93.0,100.0,51.0,0.7393759496999566,20170.557824517327,23101.9058288917
5,0,3.990752754359232,5.330826451042599,0.0,22.0,42.0,43.0,0.25082016055003425,6.381632241966301,0.0,9.300763164164957,89.0,100.0,58.0,0.4868393347869359,21005.01377763936,23101.9058288917
5,1,5.279013939043766,5.443004955645712,0.0,27.0,46.0,45.0,0.22029301055787645,5.040699948644251,0.0,9.175577292630267,88.0,99.0,54.0,0.4832128296869039,18548.678610324307,23101.9058288917
5,2,3.955419847298134,6.334009752616136,2.254711545758192,19.0,38.0,42.0,0.7950008741985686,6.578836120856542,1.1184138628168956,9.643395542258407,85.0,89.0,59.0,0.8045670050651446,19115.05334995296,23101.9058288917
5,3,6.726559545336409,7.505806268513421,0.0,16.0,47.0,49.0,0.11463901350192557,5.261429305276077,0.0,9.18050853166153,88.0,100.0,56.0,0.3737343409352444,20437.276298406156,23101.9058288917
5,4,2.778151291664264,4.468372648496609,0.0,28.0,49.0,50.0,0.10744062780899322,7.499542023187346,0.22005473649352697,9.907624692134753,86.0,100.0,53.0,0.8141694766754005,22316.948607783143,23101.9058288917
5,5,5.03560426435682,6.542442121041507,0.0,23.0,49.0,48.0,0.2993257277379383,5.050048674920774,0.0,9.0391311895949,90.0,100.0,55.0,0.6588738205081145,20483.776624398393,23101.9058288917
5,6,4.513422798783068,7.403671925755143,0.0,24.0,50.0,48.0,0.4411404304502734,7.319233842707952,0.0,9.271779710051833,94.0,100.0,53.0,0.6661423066230366,20966.713669171415,23101.9058288917
5,7,4.812906690417463,6.175264121385183,0.0,22.0,50.0,46.0,0.1904460865371399,5.356216919999115,0.0,10.0,92.0,100.0,56.0,0.5922877608010124,20483.776624398393,23101.9058288917
5,8,5.1057692916138375,5.944570194403182,0.0,23.0,47.0,45.0,0.21357213283956705,5.38562330453107,0.0,9.892171225539974,90.0,100.0,55.0,0.5867412407090046,21504.026913497095,23101.9058288917
5,9,4.246496698646143,6.432613323670589,0.0,29.0,50.0,50.0,0.1846978177570785,7.357043041162993,0.0,9.868423959935004,97.0,100.0,51.0,0.7156168175730971,21819.320896179113,23101.9058288917
6,0,4.679988859968871,5.982307615089122,0.0,23.0,44.0,45.0,0.22792358361959747,5.605101435830501,0.0,9.342777634949984,90.0,100.0,57.0,0.5237534603863123,23101.9058288917,23101.9058288917
6,1,4.550709921103703,6.30203557652137,0.0,21.0,48.0,46.0,0.1864994589490458,5.69295982094938,0.0,9.404959380425653,90.0,99.0,52.0,0.49898214781316186,23101.9058288917,23101.9058288917
6,2,4.7932414086920305,6.367517124185694,0.5750490105034516,22.0,44.0,43.0,0.3199904775448869,5.802588309059576,0.43145890371658924,9.065028032141479,88.0,97.0,57.0,0.5843951709933519,20764.29444657898,23101.9058288917
6,3,5.274991766848387,6.457187093814898,0.0,21.0,46.0,46.0,0.17604678407183383,5.3559520585264755,0.0,9.294401188802723,88.0,100.0,57.0,0.49972924478731084,22459.42679104678,23101.9058288917
6,4,2.5164294102664764,4.2905249919294475,0.0,27.0,48.0,50.0,0.12094517212536156,7.812882946957583,0.3096951543556279,9.80996529750855,86.0,100.0,54.0,0.8470412226899001,21854.365109867333,23101.9058288917
6,5,4.798494397255368,6.2408402642852305,0.0,23.0,46.0,47.0,0.30591439925308395,5.372069645123767,0.0,9.235237529814288,90.0,100.0,56.0,0.599997883366947,23101.9058288917,23101.9058288917
6,6,4.712210985097238,5.440350060364333,0.0,22.0,45.0,45.0,0.22757891645263414,4.708441831162047,0.0,9.414016804609757,87.0,100.0,57.0,0.48434964772671274,21379.355907573834,23101.9058288917
6,7,5.555563748253345,5.476292244037972,0.0,24.0,43.0,44.0,0.3655776215304725,6.155858983734459,0.0,8.986879245842077,83.0,100.0,56.0,0.36411863877810496,21005.01377763936,23101.9058288917
6,8,5.330748645815303,5.433891001182935,0.0,23.0,45.0,45.0,0.16663827829708136,5.475441026492937,0.0,7.816959276310033,91.0,100.0,62.0,0.5615956782181597,22459.42679104678,23101.9058288917
6,9,4.238398951295702,6.32343060501389,0.0,28.0,48.0,48.0,0.2613333490833582,7.360611256028714,0.0,9.705555151852813,95.0,100.0,54.0,0.6024882224164246,21854.365109867333,23101.9058288917
7,0,5.326223969600205,6.593143289604409,0.0,23.0,49.0,48.0,0.20645550935245602,4.877017885721924,0.0,9.382170850007759,90.0,100.0,54.0,0.5583645375041565,20497.219374191103,23101.9058288917
7,1,4.444074880764739,6.550859465802951,0.0,20.0,47.0,46.0,0.19997944222727315,5.7827702838815025,0.0,9.466734070177775,91.0,100.0,54.0,0.5321086271807282,22459.42679104678,23101.9058288917
7,2,5.243054580246602,6.191688005762235,0.0,24.0,49.0,46.0,0.005048966456876192,5.12044173414475,0.0,9.00469731012501,91.0,100.0,55.0,0.4324478556484851,21730.135443382747,23101.9058288917
7,3,2.7854622293476217,4.590882439648659,0.49369139135265083,30.0,44.0,49.0,0.45188983154912943,5.8158157344164,0.0,9.628675823791946,100.0,97.0,51.0,0.6776531559221577,22316.948607783143,23101.9058288917
7,4,2.8159064601881556,4.521366938029136,0.0,27.0,48.0,50.0,0.12859837136178537,7.495376349667962,0.25756949388619155,9.783755715174616,86.0,100.0,54.0,0.8068899578011163,21854.365109867333,23101.9058288917
7,5,4.726525508926009,5.930340098170987,0.0,23.0,45.0,45.0,0.19374121761198088,5.618971689601219,0.0,9.495709225964838,90.0,100.0,57.0,0.4758628416444214,23101.9058288917,23101.9058288917
