Iteration,Particle_ID,Dim_0,Dim_1,Dim_2,Fitness,Best_So_far
0,0,4.0,25.0,0.12776832495853552,875.6111220367812,875.6111220367812
0,1,6.0,24.0,0.8888974562956713,995.6176837052793,995.6176837052793
0,2,1.0,23.0,0.18166579992504794,872.6354895290742,995.6176837052793
0,3,10.0,32.0,0.08718410799959908,838.9033193366641,995.6176837052793
0,4,1.0,15.0,0.7051726953599321,779.5904535616738,995.6176837052793
0,5,2.0,25.0,0.022217519281329867,872.6354895290742,995.6176837052793
0,6,2.0,17.0,0.5263204445657689,473.83706594829596,995.6176837052793
0,7,8.0,29.0,0.7970224412309459,774.4949479364035,995.6176837052793
0,8,7.0,15.0,0.7142934329515143,299.3784490438506,995.6176837052793
0,9,3.0,21.0,0.3489152808806628,729.1187559092666,995.6176837052793
1,0,4.0,25.0,0.12776832495853552,875.6111220367812,995.6176837052793
1,1,6.0,24.0,0.8888974562956713,995.6176837052793,995.6176837052793
1,2,1.0,23.0,0.18166579992504794,872.6354895290742,995.6176837052793
1,3,10.0,32.0,0.08718410799959908,838.9033193366641,995.6176837052793
1,4,1.0,15.0,0.7051726953599321,779.5904535616738,995.6176837052793
1,5,2.0,25.0,0.022217519281329867,872.6354895290742,995.6176837052793
1,6,2.0,17.0,0.5263204445657689,473.83706594829596,995.6176837052793
1,7,8.0,29.0,0.7970224412309459,774.4949479364035,995.6176837052793
1,8,7.0,15.0,0.7142934329515143,299.3784490438506,995.6176837052793
1,9,3.0,21.0,0.3489152808806628,729.1187559092666,995.6176837052793
2,0,6.0,25.0,1.0,657.743900630044,995.6176837052793
2,1,6.0,24.0,1.0,736.1169536281117,995.6176837052793
2,2,3.0,23.0,0.6733254274307491,532.4318888660805,995.6176837052793
2,3,7.0,26.0,0.26102144621702217,1052.7498973752108,1052.7498973752108
2,4,8.0,28.0,0.7656231440576755,885.0039000886554,1052.7498973752108
2,5,4.0,24.0,0.6269327461236962,1166.6014231441166,1166.6014231441166
2,6,3.0,19.0,0.1990910422222953,872.6354895290742,1166.6014231441166
2,7,7.0,25.0,0.5365923991706987,1243.8552268726783,1243.8552268726783
2,8,6.0,24.0,0.6910039853994772,1258.6929385548615,1258.6929385548615
2,9,6.0,23.0,0.9642298088549632,822.2672466374146,1258.6929385548615
3,0,6.0,24.0,0.6871379006904987,1258.6929385548615,1258.6929385548615
3,1,6.0,24.0,0.6536338884173294,1322.565601079891,1322.565601079891
3,2,3.0,23.0,0.49710815490316396,439.57592127933725,1322.565601079891
3,3,5.0,23.0,0.47768887122892256,1177.7041702941326,1322.565601079891
3,4,10.0,33.0,0.7708154951537767,1140.29181866033,1322.565601079891
3,5,5.0,24.0,0.9372408076882437,989.5665635895397,1322.565601079891
3,6,4.0,20.0,0.07174614952409242,870.5100377378548,1322.565601079891
3,7,5.0,22.0,0.5268344707586196,1520.1433669647606,1520.1433669647606
3,8,6.0,29.0,0.6793592616234586,1017.3148335861922,1520.1433669647606
3,9,7.0,26.0,0.9014891668477221,690.368112259488,1520.1433669647606
4,0,5.0,21.0,0.35857429403170216,638.0911810376472,1520.1433669647606
4,1,5.0,21.0,0.3188866959781852,551.9325833828244,1520.1433669647606
4,2,4.0,22.0,0.22293564360498724,875.6111220367812,1520.1433669647606
4,3,4.0,21.0,0.5987518818286552,962.3356027701967,1520.1433669647606
4,4,8.0,29.0,0.6152735100293888,1482.0811346234832,1520.1433669647606
4,5,5.0,23.0,0.7586152155374359,1472.1367624488162,1520.1433669647606
4,6,4.0,21.0,0.3172244253919001,591.4378284016808,1520.1433669647606
4,7,4.0,21.0,0.52195550655258,945.698430368239,1520.1433669647606
4,8,5.0,18.0,0.49033858296123123,622.1342352089888,1520.1433669647606
4,9,7.0,24.0,0.9063080092882281,927.7120958842228,1520.1433669647606
5,0,6.0,23.0,0.6142471203779241,770.4979609628596,1520.1433669647606
5,1,5.0,23.0,0.5316613009669982,1246.183599730962,1520.1433669647606
5,2,6.0,21.0,0.4110251220592318,1214.7309058974868,1520.1433669647606
5,3,5.0,22.0,0.5524054652652952,1590.0501645768586,1590.0501645768586
5,4,4.0,20.0,0.4557832225869355,486.1228162927233,1590.0501645768586
5,5,5.0,23.0,0.6569609298998909,690.5680467774433,1590.0501645768586
5,6,5.0,23.0,0.7114311275972167,1228.340322711153,1590.0501645768586
5,7,5.0,21.0,0.5249539340506446,1179.9408171864836,1590.0501645768586
5,8,4.0,16.0,0.4363773487426883,204.09071024136014,1590.0501645768586
