,unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
2650,1417132800,2014-11-28,BTC/USD,363.59,381.34,360.57,376.28,3220878.18,8617.15
2649,1417219200,2014-11-29,BTC/USD,376.42,386.6,372.25,376.72,2746157.05,7245.19
2648,1417305600,2014-11-30,BTC/USD,376.57,381.99,373.32,373.34,1145566.61,3046.33
2647,1417392000,2014-12-01,BTC/USD,376.4,382.31,373.03,378.39,2520662.37,6660.56
2646,1417478400,2014-12-02,BTC/USD,378.39,382.86,375.23,379.25,2593576.46,6832.53
2645,1417564800,2014-12-03,BTC/USD,379.25,383.0,374.23,376.67,2998357.92,7908.29
2644,1417651200,2014-12-04,BTC/USD,376.67,378.99,360.01,365.2,3297896.46,8865.09
2643,1417737600,2014-12-05,BTC/USD,365.2,377.89,363.99,374.95,3331762.49,8951.16
2642,1417824000,2014-12-06,BTC/USD,374.95,376.99,371.31,375.07,861748.71,2300.21
2641,1417910400,2014-12-07,BTC/USD,375.07,377.5,373.16,376.87,913715.62,2429.62
2640,1417996800,2014-12-08,BTC/USD,376.87,377.45,364.6,364.61,3655238.4,9920.84
2639,1418083200,2014-12-09,BTC/USD,364.61,365.48,343.97,350.49,7376463.45,20940.84
2638,1418169600,2014-12-10,BTC/USD,350.49,353.74,347.23,348.13,2304335.87,6579.79
2637,1418256000,2014-12-11,BTC/USD,348.13,364.43,339.8,348.98,5842055.01,16533.38
2636,1418342400,2014-12-12,BTC/USD,348.98,358.59,348.0,354.48,2846451.59,8039.95
2635,1418428800,2014-12-13,BTC/USD,354.48,354.95,347.03,351.45,1359211.39,3880.75
2634,1418515200,2014-12-14,BTC/USD,351.45,351.98,348.96,350.17,196831.56,561.33
2633,1418601600,2014-12-15,BTC/USD,350.17,350.17,350.17,350.17,0.0,0.0
2632,1418688000,2014-12-16,BTC/USD,350.17,350.17,330.0,330.02,1902071.15,5677.83
2631,1418774400,2014-12-17,BTC/USD,331.56,335.99,315.23,321.1,7586686.22,23478.02
2630,1418860800,2014-12-18,BTC/USD,321.32,325.61,304.99,312.17,6788858.09,21637.58
2629,1418947200,2014-12-19,BTC/USD,310.48,320.0,307.11,318.0,4999167.76,15958.56
2628,1419033600,2014-12-20,BTC/USD,317.23,333.0,316.52,329.99,3617196.63,11146.4
2627,1419120000,2014-12-21,BTC/USD,332.58,332.98,318.78,323.15,2114707.57,6510.0
2626,1419206400,2014-12-22,BTC/USD,322.24,333.99,319.9,330.52,3821126.0,11646.6
2625,1419292800,2014-12-23,BTC/USD,330.52,338.99,327.49,335.49,2604314.14,7804.03
2624,1419379200,2014-12-24,BTC/USD,337.0,337.0,320.92,322.14,1826465.31,5544.8
2623,1419465600,2014-12-25,BTC/USD,320.92,324.23,316.63,319.39,1255322.02,3924.9
2622,1419552000,2014-12-26,BTC/USD,319.0,332.0,316.64,330.88,2066944.34,6347.26
2621,1419638400,2014-12-27,BTC/USD,330.97,330.97,311.63,315.89,2747753.48,8639.54
2620,1419724800,2014-12-28,BTC/USD,315.89,319.56,311.22,316.63,1288906.81,4089.61
2619,1419811200,2014-12-29,BTC/USD,316.63,320.14,311.61,314.78,1859591.78,5901.06
2618,1419897600,2014-12-30,BTC/USD,314.78,316.77,310.0,311.94,3091941.68,9894.24
2617,1419984000,2014-12-31,BTC/USD,311.94,320.0,310.69,319.25,1925334.88,6097.71
2616,1420070400,2015-01-01,BTC/USD,319.25,321.0,312.6,316.31,1018388.35,3223.06
2615,1420156800,2015-01-02,BTC/USD,316.31,317.01,311.96,316.51,1093571.94,3472.05
2614,1420243200,2015-01-03,BTC/USD,316.51,316.58,285.0,286.01,6078845.04,20350.46
2613,1420329600,2015-01-04,BTC/USD,286.01,289.81,255.0,264.62,11614560.04,42650.57
2612,1420416000,2015-01-05,BTC/USD,264.62,280.0,262.94,276.8,2655979.12,9752.08
2611,1420502400,2015-01-06,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0
2610,1420588800,2015-01-07,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0
2609,1420675200,2015-01-08,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0
2608,1420761600,2015-01-09,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0
2607,1420848000,2015-01-10,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0
2606,1420934400,2015-01-11,BTC/USD,276.8,276.8,276.8,276.8,0.0,0.0
2605,1421020800,2015-01-12,BTC/USD,270.4,272.43,263.54,268.16,2133679.78,7909.25
2604,1421107200,2015-01-13,BTC/USD,268.16,268.72,216.0,221.0,13652228.51,57653.9
2603,1421193600,2015-01-14,BTC/USD,221.0,230.89,152.4,162.0,23647658.54,123599.76
2602,1421280000,2015-01-15,BTC/USD,162.0,233.9,161.1,208.81,17721319.5,86158.17
2601,1421366400,2015-01-16,BTC/USD,214.77,223.15,198.04,206.6,7308109.72,34657.09
2600,1421452800,2015-01-17,BTC/USD,206.6,212.84,192.17,200.1,4007435.83,19933.78
2599,1421539200,2015-01-18,BTC/USD,200.1,222.0,195.02,211.42,3816641.51,18205.49
2598,1421625600,2015-01-19,BTC/USD,210.05,220.94,207.7,216.88,2729178.12,12796.47
2597,1421712000,2015-01-20,BTC/USD,217.84,217.84,201.98,211.08,2998319.48,14234.73
2596,1421798400,2015-01-21,BTC/USD,211.08,228.9,205.0,228.59,4937625.47,22796.06
2595,1421884800,2015-01-22,BTC/USD,228.59,239.0,226.01,233.0,6003089.46,25809.37
2594,1421971200,2015-01-23,BTC/USD,233.0,240.0,225.55,233.03,3539626.61,15246.43
2593,1422057600,2015-01-24,BTC/USD,233.03,249.99,230.03,249.99,3297573.46,13633.14
2592,1422144000,2015-01-25,BTC/USD,249.99,257.0,241.33,253.09,7019125.49,28139.7
2591,1422230400,2015-01-26,BTC/USD,253.09,309.9,253.09,269.5,15614774.92,55355.5
2590,1422316800,2015-01-27,BTC/USD,269.5,278.51,243.1,262.99,5501345.88,21293.57
2589,1422403200,2015-01-28,BTC/USD,262.99,266.45,225.91,236.2,6774004.56,27595.15
2588,1422489600,2015-01-29,BTC/USD,236.2,242.18,220.0,234.75,6076004.2,26178.79
2587,1422576000,2015-01-30,BTC/USD,234.75,244.98,227.26,232.6,4653564.37,19832.17
2586,1422662400,2015-01-31,BTC/USD,232.6,234.8,215.75,217.98,4494529.82,19706.27
2585,1422748800,2015-02-01,BTC/USD,217.98,220.81,208.48,214.8,1336586.85,6189.01
2584,1422835200,2015-02-02,BTC/USD,214.8,241.98,214.8,237.97,1494778.57,6423.56
2583,1422921600,2015-02-03,BTC/USD,237.97,244.39,223.79,227.35,4178199.28,17756.67
2582,1423008000,2015-02-04,BTC/USD,227.35,231.0,220.02,227.0,3220391.1,14313.23
2581,1423094400,2015-02-05,BTC/USD,227.0,228.94,213.64,217.0,953936.47,4314.11
2580,1423180800,2015-02-06,BTC/USD,216.81,225.86,214.95,222.88,1044545.84,4730.33
2579,1423267200,2015-02-07,BTC/USD,223.37,231.14,221.77,228.61,1444459.22,6356.04
