Iteration,Whale_ID,Dim_0,Dim_1,Fitness,Best_So_far
0,0,5,96,9719.675359916066,19661.025724892057
0,1,6,100,12140.539542269355,19661.025724892057
0,2,50,59,3753.447347493746,19661.025724892057
0,3,50,92,19268.73721410233,19661.025724892057
0,4,50,77,10038.365897532682,19661.025724892057
0,5,42,92,16396.69789915186,19661.025724892057
0,6,50,58,3458.1715775033244,19661.025724892057
0,7,5,100,10655.546441570905,19661.025724892057
0,8,50,58,3458.1715775033244,19661.025724892057
0,9,50,100,20550.9792711366,19661.025724892057
1,0,50,51,454.30856634705606,20550.9792711366
1,1,50,100,20550.9792711366,20550.9792711366
1,2,50,100,20550.9792711366,20550.9792711366
1,3,50,100,20550.9792711366,20550.9792711366
1,4,50,100,20550.9792711366,20550.9792711366
1,5,50,86,19921.79339921493,20550.9792711366
1,6,50,100,20550.9792711366,20550.9792711366
1,7,5,100,10655.546441570905,20550.9792711366
1,8,50,100,20550.9792711366,20550.9792711366
1,9,5,75,4216.9698837613705,20550.9792711366
2,0,48,100,19077.551904064116,20550.9792711366
2,1,50,100,20550.9792711366,20550.9792711366
2,2,5,100,10655.546441570905,20550.9792711366
2,3,50,100,20550.9792711366,20550.9792711366
2,4,31,100,15516.442464688856,20550.9792711366
2,5,50,51,454.30856634705606,20550.9792711366
2,6,50,100,20550.9792711366,20550.9792711366
2,7,50,100,20550.9792711366,20550.9792711366
2,8,50,100,20550.9792711366,20550.9792711366
2,9,50,100,20550.9792711366,20550.9792711366
3,0,26,51,2994.2409788367045,20550.9792711366
3,1,48,99,20443.930812693652,20550.9792711366
3,2,50,100,20550.9792711366,20550.9792711366
3,3,50,100,20550.9792711366,20550.9792711366
3,4,39,100,23764.045982213407,20550.9792711366
3,5,50,51,454.30856634705606,23764.045982213407
3,6,5,100,10655.546441570905,23764.045982213407
3,7,50,51,454.30856634705606,23764.045982213407
3,8,39,100,23764.045982213407,23764.045982213407
3,9,5,51,3812.7091901384088,23764.045982213407
4,0,5,51,3812.7091901384088,23764.045982213407
4,1,24,100,14358.114068641871,23764.045982213407
4,2,33,100,16166.376698065598,23764.045982213407
4,3,31,100,15516.442464688856,23764.045982213407
4,4,39,100,23764.045982213407,23764.045982213407
4,5,37,82,10785.777153698287,23764.045982213407
4,6,5,100,10655.546441570905,23764.045982213407
4,7,36,100,20520.59860799796,23764.045982213407
4,8,7,99,11516.31107849524,23764.045982213407
4,9,5,59,3688.1807139890498,23764.045982213407
5,0,39,87,15120.300002251806,23764.045982213407
5,1,50,100,20550.9792711366,23764.045982213407
5,2,43,100,22812.094865303992,23764.045982213407
5,3,45,100,20984.969287846103,23764.045982213407
5,4,35,51,4241.546342789301,23764.045982213407
5,5,5,100,10655.546441570905,23764.045982213407
5,6,5,100,10655.546441570905,23764.045982213407
5,7,5,64,5306.090218715329,23764.045982213407
5,8,50,99,21047.099301038365,23764.045982213407
5,9,48,51,1404.721937414847,23764.045982213407
6,0,48,51,1404.721937414847,23764.045982213407
6,1,36,100,20520.59860799796,23764.045982213407
6,2,41,100,21865.380082776133,23764.045982213407
6,3,50,100,20550.9792711366,23764.045982213407
6,4,37,100,26099.424913649218,23764.045982213407
6,5,5,51,3812.7091901384088,26099.424913649218
6,6,50,100,20550.9792711366,26099.424913649218
6,7,50,100,20550.9792711366,26099.424913649218
6,8,33,100,16166.376698065598,26099.424913649218
6,9,18,51,3032.878560491985,26099.424913649218
7,0,5,51,3812.7091901384088,26099.424913649218
7,1,50,97,19105.641331281877,26099.424913649218
7,2,39,100,23764.045982213407,26099.424913649218
7,3,33,100,16166.376698065598,26099.424913649218
7,4,37,100,26099.424913649218,26099.424913649218
7,5,5,51,3812.7091901384088,26099.424913649218
7,6,50,51,454.30856634705606,26099.424913649218
7,7,44,100,22495.03336863658,26099.424913649218
7,8,30,100,15968.62103681664,26099.424913649218
7,9,50,100,20550.9792711366,26099.424913649218
8,0,22,100,12352.871638760626,26099.424913649218
8,1,50,51,454.30856634705606,26099.424913649218
8,2,31,100,15516.442464688856,26099.424913649218
8,3,34,100,16826.31223000793,26099.424913649218
8,4,38,100,25965.92994825757,26099.424913649218
8,5,50,100,20550.9792711366,26099.424913649218
8,6,30,51,3288.1415938148743,26099.424913649218
8,7,34,100,16826.31223000793,26099.424913649218
8,8,25,100,13793.1751312338,26099.424913649218
8,9,50,89,20183.15411182175,26099.424913649218
9,0,39,79,12123.45137582329,26099.424913649218
9,1,23,97,11223.54397692767,26099.424913649218
9,2,29,100,13383.49056501273,26099.424913649218
9,3,5,100,10655.546441570905,26099.424913649218
9,4,35,100,19816.10508125589,26099.424913649218
9,5,25,51,2429.647672135719,26099.424913649218
9,6,5,51,3812.7091901384088,26099.424913649218
9,7,40,51,3449.0179060909886,26099.424913649218
9,8,40,51,3449.0179060909886,26099.424913649218
9,9,38,100,25965.92994825757,26099.424913649218
10,0,38,92,16800.71318477093,26099.424913649218
10,1,30,100,15968.62103681664,26099.424913649218
10,2,33,51,3110.0377168529367,26099.424913649218
10,3,5,89,7265.877871943997,26099.424913649218
10,4,35,100,19816.10508125589,26099.424913649218
10,5,38,100,25965.92994825757,26099.424913649218
10,6,13,100,11885.402018253437,26099.424913649218
10,7,35,100,19816.10508125589,26099.424913649218
10,8,39,76,12560.03924562241,26099.424913649218
10,9,37,100,26099.424913649218,26099.424913649218
11,0,34,100,16826.31223000793,26099.424913649218
11,1,42,100,21792.77677329291,26099.424913649218
11,2,50,100,20550.9792711366,26099.424913649218
11,3,49,95,18837.603794618575,26099.424913649218
11,4,36,100,20520.59860799796,26099.424913649218
11,5,36,100,20520.59860799796,26099.424913649218
11,6,5,100,10655.546441570905,26099.424913649218
11,7,50,100,20550.9792711366,26099.424913649218
11,8,50,76,7275.985079673369,26099.424913649218
11,9,10,51,5073.4514427581735,26099.424913649218
12,0,47,100,18821.720949737206,26099.424913649218
12,1,43,100,22812.094865303992,26099.424913649218
12,2,50,51,454.30856634705606,26099.424913649218
12,3,33,51,3110.0377168529367,26099.424913649218
12,4,37,100,26099.424913649218,26099.424913649218
12,5,50,100,20550.9792711366,26099.424913649218
12,6,5,100,10655.546441570905,26099.424913649218
12,7,23,100,13320.258293555577,26099.424913649218
12,8,50,61,4621.752340326114,26099.424913649218
12,9,50,51,454.30856634705606,26099.424913649218
13,0,14,51,2487.7643600176834,26099.424913649218
13,1,36,100,20520.59860799796,26099.424913649218
13,2,15,75,9939.365298727906,26099.424913649218
13,3,32,69,8119.981331895946,26099.424913649218
13,4,50,100,20550.9792711366,26099.424913649218
13,5,28,100,13374.450495000607,26099.424913649218
13,6,19,100,13623.46129621438,26099.424913649218
13,7,38,100,25965.92994825757,26099.424913649218
13,8,50,51,454.30856634705606,26099.424913649218
13,9,16,86,13219.244427219579,26099.424913649218
14,0,50,51,454.30856634705606,26099.424913649218
14,1,36,100,20520.59860799796,26099.424913649218
14,2,18,51,3032.878560491985,26099.424913649218
14,3,34,96,16601.844980307946,26099.424913649218
14,4,44,100,22495.03336863658,26099.424913649218
14,5,50,51,454.30856634705606,26099.424913649218
14,6,14,100,11173.193250173406,26099.424913649218
14,7,36,100,20520.59860799796,26099.424913649218
14,8,36,100,20520.59860799796,26099.424913649218
14,9,33,100,16166.376698065598,26099.424913649218
15,0,50,100,20550.9792711366,26099.424913649218
15,1,36,100,20520.59860799796,26099.424913649218
15,2,46,100,23322.334975869224,26099.424913649218
15,3,21,100,12225.98425734157,26099.424913649218
15,4,50,100,20550.9792711366,26099.424913649218
15,5,28,100,13374.450495000607,26099.424913649218
15,6,40,100,21898.565842779615,26099.424913649218
